Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-100,-66.4,-100,-100,2
-100,-73.333,-100,-99,2
-100,-66.25,-100,-84.5,2
-100,-63,-100,-100,2
-100,-83,-100,-96,2
-100,-73,-100,-81,2
-100,-72.5,-100,-100,2
-100,-72.333,-100,-87,2
-100,-83.75,-100,-92.5,2
-100,-73.5,-100,-87.333,2
-91,-71,-100,-88,2
-102,-69.25,-100,-78,2
-100,-70.25,-100,-82.5,2
-100,-67,-100,-100,2
-100,-72.5,-100,-100,2
-100,-74.4,-100,-91.5,2
-100,-68.75,-100,-100,2
-100,-72.333,-100,-100,2
-100,-77,-100,-87,2
-100,-61.667,-100,-100,2
-100,-67.6,-100,-100,2
-100,-73.833,-100,-79,2
-100,-75,-100,-100,2
-100,-71.8,-100,-78,2
-100,-66.667,-100,-90.333,2
-100,-79,-100,-90,2
-100,-75.667,-100,-88,2
-100,-78,-100,-100,2
-100,-75.667,-100,-100,2
-100,-68.2,-100,-100,2
-100,-67.75,-100,-100,2
-100,-69.8,-100,-85,2
-100,-75,-100,-100,2
-100,-76,-100,-100,2
-100,-81.4,-100,-100,2
-100,-73,-100,-100,2
-100,-72.25,-100,-100,2
-100,-75,-100,-97,2
-100,-66.75,-100,-83.5,2
-100,-74.4,-100,-93,2
-100,-65.75,-100,-97,2
-100,-66.4,-100,-86,2
-100,-68.6,-100,-100,2
-100,-69.75,-100,-100,2
-100,-66.5,-100,-100,2
-100,-76.25,-100,-100,2
-100,-77,-100,-100,2
-100,-71.2,-100,-87,2
-100,-68.75,-100,-88.333,2
-100,-58.333,-100,-100,2
-100,-62,-100,-100,2
-100,-65.5,-100,-92,2
-100,-76,-100,-81,2
-100,-62.333,-100,-100,2
-100,-69.25,-100,-83,2
-100,-68.333,-100,-100,2
-100,-70,-100,-99,2
-100,-65.5,-100,-100,2
-100,-75.167,-100,-100,2
-100,-68.5,-100,-103,2
-100,-77.333,-100,-100,2
-100,-71.667,-100,-100,2
-100,-78,-100,-100,2
-100,-74.75,-100,-85,2
-100,-74.5,-100,-100,2
-100,-79,-100,-100,2
-100,-64.25,-100,-85,2
