Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-77.699,-99.919,-82.546,-90.035,1,-0.23687,-0.625,-0.625
-77.6,-99.822,-82.225,-89.95,1,-0.23003,-0.62917,-0.62882
-77.82,-99.79,-81.642,-89.175,1,-0.21771,-0.63542,-0.62812
-78.227,-99.838,-80.979,-87.722,1,-0.21875,-0.64375,-0.62917
-78.537,-99.952,-80.447,-85.867,1,-0.21969,-0.64583,-0.62802
-78.413,-100.09,-80.221,-84.069,1,-0.21875,-0.64625,-0.62583
-77.608,-100.19,-80.39,-82.817,1,-0.21997,-0.6526,-0.62326
-76.078,-100.23,-80.941,-82.456,1,-0.21028,-0.63417,-0.63153
-74.038,-100.17,-81.764,-83.064,1,-0.21833,-0.6499,-0.62677
-71.92,-100.05,-82.693,-84.406,1,-0.24063,-0.68125,-0.6
-70.256,-99.907,-83.556,-86.013,1,-0.24694,-0.68927,-0.59715
-69.505,-99.795,-84.219,-87.338,1,-0.42708,-0.38819,-0.71944
-69.897,-99.76,-84.617,-87.947,1,-0.38924,-0.45955,-0.61198
-71.336,-99.818,-84.764,-87.686,1,-0.28542,-0.59931,-0.66958
-73.403,-99.948,-84.734,-86.743,1,-0.19549,-0.63403,-0.64167
-75.473,-100.1,-84.639,-85.602,1,-0.2151,-0.68385,-0.58229
-76.89,-100.22,-84.592,-84.883,1,-0.19514,-0.73542,-0.51875
-77.17,-100.25,-84.688,-85.136,1,-0.15424,-0.65097,-0.61215
-76.154,-100.19,-84.992,-86.639,1,-0.028472,-0.69896,-0.63715
-74.063,-100.05,-85.537,-89.287,1,-0.2625,-0.64375,-0.61562
-71.435,-99.89,-86.331,-92.609,1,0.033594,-0.76016,-0.52812
-68.972,-99.771,-87.366,-95.898,1,-0.1075,-0.76375,-0.51458
-67.323,-99.742,-88.617,-98.435,1,-0.11042,-0.76406,-0.5092
-66.897,-99.815,-90.032,-99.71,1,-0.12667,-0.76271,-0.50396
-67.739,-99.962,-91.522,-99.589,1,-0.12812,-0.76406,-0.5
-69.523,-100.13,-92.948,-98.352,1,-0.125,-0.76172,-0.51016
-71.659,-100.24,-94.13,-96.601,1,-0.12812,-0.75938,-0.50703
-73.476,-100.26,-94.865,-95.054,1,-0.12969,-0.75062,-0.52687
-74.427,-100.16,-94.97,-94.313,1,-0.125,-0.7625,-0.51875
-74.257,-100,-94.329,-94.66,1,-0.125,-0.75625,-0.52031
-73.072,-99.843,-92.943,-95.966,1,-0.12708,-0.75,-0.53125
-71.309,-99.76,-90.956,-97.728,1,-0.125,-0.75625,-0.51625
-69.604,-99.801,-88.65,-99.238,1,-0.125,-0.75521,-0.52083
-68.605,-99.953,-86.408,-99.809,1,-0.125,-0.75406,-0.51391
-68.799,-100.14,-84.642,-98.996,1,-0.125,-0.75625,-0.50781
-70.383,-100.23,-83.709,-96.728,1,-0.125,-0.75625,-0.51094
-73.233,-100.07,-83.834,-93.323,1,-0.12219,-0.7625,-0.51453
-76.964,-99.535,-85.056,-89.366,1,-0.17431,-0.69444,-0.58437
-81.047,-98.574,-87.221,-85.512,1,-0.072569,-0.70538,-0.57587
-84.966,-97.226,-90.013,-82.267,1,-0.18194,-0.72986,-0.57604
-88.342,-95.624,-93.027,-79.829,1,-0.093958,-0.78292,-0.52479
-91.002,-93.963,-95.853,-78.039,1,-0.073177,-0.72552,-0.55313
-92.979,-92.454,-98.16,-76.457,1,-0.10938,-0.69753,-0.57435
-94.45,-91.268,-99.748,-74.537,1,-0.11771,-0.71146,-0.60313
-95.64,-90.495,-100.57,-71.828,1,0.0028646,-0.59844,-0.69792
-96.733,-90.125,-100.69,-68.155,1,-0.059028,-0.54903,-0.69972
-97.809,-90.061,-100.28,-63.689,1,0.0625,-0.6724,-0.7901
-98.839,-90.16,-99.488,-58.916,1,-0.028906,-0.60078,-0.66953
-99.72,-90.275,-98.467,-54.488,1,-0.048125,-0.59844,-0.66969
-100.33,-90.311,-97.299,-51.034,1,-0.064583,-0.59479,-0.66667
-100.6,-90.246,-96.02,-48.97,1,-0.046667,-0.6875,-0.59875
-100.53,-90.135,-94.65,-48.393,1,0.041458,-0.61896,-0.68875
-100.22,-90.087,-93.23,-49.071,1,-0.061111,-0.6934,-0.57778
-99.814,-90.22,-91.85,-50.54,1,-0.064236,-0.70729,-0.59167
-99.432,-90.615,-90.66,-52.263,1,-0.05816,-0.7151,-0.59132
-99.154,-91.281,-89.846,-53.795,1,-0.044375,-0.68312,-0.59109
-98.971,-92.144,-89.586,-54.898,1,0.17396,-0.68802,-0.65417
-98.803,-93.057,-89.991,-55.573,1,0.064844,-0.74109,-0.53
-98.537,-93.842,-91.066,-56.002,1,0.28385,-0.83229,0.058854
-98.081,-94.328,-92.678,-56.426,1,0.24602,-0.59516,0.10773
-97.416,-94.4,-94.581,-57.012,1,0.71146,-0.14375,-0.64063
-96.619,-94.026,-96.458,-57.761,1,0.72014,-0.25972,-0.55972
-95.849,-93.265,-97.996,-58.49,1,0.70083,-0.28833,-0.56917
-95.302,-92.251,-98.959,-58.894,1,0.52406,-0.66531,-0.37562
-95.143,-91.169,-99.248,-58.664,1,0.20625,-0.8526,-0.26146
-95.449,-90.208,-98.916,-57.623,1,0.64653,-0.63056,-0.45833
-96.173,-89.534,-98.155,-55.815,1,0.61312,-0.62,-0.28
-97.147,-89.259,-97.237,-53.528,1,0.22708,-0.80104,-0.37812
-98.129,-89.428,-96.441,-51.225,1,0.18271,-0.81979,-0.37667
-98.875,-90.02,-95.976,-49.415,1,0.1849,-0.70868,-0.57309
-99.208,-90.958,-95.933,-48.507,1,0.12214,-0.65924,-0.63789
-99.075,-92.123,-96.265,-48.682,1,0.175,-0.69375,-0.6
-98.561,-93.378,-96.807,-49.843,1,0.2349,-0.72292,-0.51979
-97.861,-94.585,-97.335,-51.65,1,0.275,-0.68333,-0.57396
-97.217,-95.625,-97.632,-53.623,1,0.2475,-0.67083,-0.59458
-96.842,-96.417,-97.55,-55.286,1,0.20625,-0.68125,-0.6
-96.858,-96.925,-97.056,-56.295,1,0.21875,-0.67396,-0.60052
-97.256,-97.167,-96.241,-56.52,1,0.21875,-0.67292,-0.5975
-97.909,-97.201,-95.291,-56.052,1,0.21875,-0.66875,-0.60234
-98.618,-97.111,-94.438,-55.136,1,0.21875,-0.65703,-0.61289
-99.176,-96.983,-93.897,-54.071,1,0.225,-0.65625,-0.61875
-99.44,-96.875,-93.805,-53.108,1,0.22292,-0.65625,-0.62292
-99.377,-96.799,-94.19,-52.382,1,0.21966,-0.6582,-0.62161
-99.071,-96.712,-94.957,-51.898,1,0.21875,-0.65547,-0.625
-98.694,-96.524,-95.918,-51.572,1,0.21875,-0.65625,-0.62708
-98.444,-96.131,-96.837,-51.304,1,0.18438,-0.64844,-0.62813
-98.479,-95.452,-97.49,-51.045,1,0.11042,-0.6,-0.71042
-98.861,-94.462,-97.723,-50.828,1,0.089844,-0.60234,-0.69375
-99.527,-93.222,-97.49,-50.754,4,0.83125,-0.55755,-0.04375
-100.31,-91.874,-96.867,-50.934,4,0.65208,-0.56875,-0.16875
-100.98,-90.619,-96.032,-51.413,4,0.53333,-0.74635,-0.073958
-101.31,-89.662,-95.224,-52.113,4,0.14438,-0.50521,-0.76271
-101.15,-89.161,-94.681,-52.821,4,0.070313,-0.53984,-0.75547
-100.47,-89.177,-94.576,-53.232,4,0.091667,-0.5776,-0.71875
-99.352,-89.654,-94.974,-53.044,4,0.06875,-0.59375,-0.71476
-97.991,-90.427,-95.805,-52.069,4,0.080903,-0.58715,-0.71563
-96.616,-91.268,-96.875,-50.32,4,0.097917,-0.62326,-0.65208
-95.44,-91.95,-97.912,-48.041,4,0.60104,-0.61146,-0.27917
-94.597,-92.314,-98.627,-45.665,4,0.90729,-0.24271,-0.19792
-94.119,-92.31,-98.791,-43.704,4,0.90694,-0.22014,-0.19306
-93.935,-92.011,-98.301,-42.605,4,0.90955,-0.24115,-0.20677
-93.907,-91.588,-97.213,-42.617,4,0.90885,-0.21042,-0.21875
-93.881,-91.241,-95.741,-43.724,4,0.90781,-0.21302,-0.20417
-93.746,-91.137,-94.213,-45.637,4,0.91125,-0.23313,-0.2025
-93.469,-91.345,-92.997,-47.89,4,0.90508,-0.2457,-0.18867
-93.106,-91.808,-92.409,-49.97,4,0.83766,-0.39495,-0.24036
-92.787,-92.357,-92.63,-51.465,4,0.10469,-0.52187,-0.73281
-92.668,-92.763,-93.66,-52.169,4,0.035625,-0.6,-0.70125
-92.876,-92.81,-95.308,-52.12,4,0.26672,-0.63219,-0.605
-93.469,-92.371,-97.239,-51.555,4,0.30677,-0.52604,-0.70417
-94.402,-91.453,-99.049,-50.808,4,0.3125,-0.52396,-0.70625
-95.539,-90.205,-100.37,-50.185,4,0.46922,-0.62906,-0.51292
-96.686,-88.879,-100.95,-49.859,4,0.84219,-0.35844,-0.14781
-97.646,-87.761,-100.72,-49.83,4,0.91875,-0.23438,-0.1625
-98.277,-87.083,-99.797,-49.948,4,0.91901,-0.20391,-0.18411
-98.536,-86.961,-98.445,-49.994,4,0.91797,-0.21328,-0.17161
-98.489,-87.356,-96.994,-49.786,4,0.91615,-0.21875,-0.16823
-98.294,-88.096,-95.756,-49.261,4,0.915,-0.21313,-0.17094
-98.151,-88.921,-94.945,-48.511,4,0.91753,-0.21372,-0.17934
-98.233,-89.563,-94.633,-47.751,4,0.92031,-0.21354,-0.17622
-98.624,-89.821,-94.754,-47.235,4,0.92229,-0.19,-0.18521
-99.278,-89.615,-95.145,-47.156,4,0.91771,-0.20625,-0.18646
-100.02,-88.997,-95.613,-47.554,4,0.92396,-0.19292,-0.18188
-100.58,-88.126,-96.003,-48.298,4,0.92083,-0.20313,-0.18021
-100.67,-87.218,-96.242,-49.113,4,0.92271,-0.2,-0.17854
-100.08,-86.477,-96.353,-49.682,4,0.91563,-0.20547,-0.17266
-98.715,-86.049,-96.425,-49.759,4,0.92569,-0.18958,-0.18611
-96.698,-85.989,-96.565,-49.263,4,0.92398,-0.20703,-0.16734
-94.322,-86.269,-96.845,-48.322,4,0.91812,-0.21479,-0.16021
-92.014,-86.8,-97.258,-47.237,4,0.92125,-0.20854,-0.16729
-90.236,-87.475,-97.722,-46.379,4,0.92028,-0.20958,-0.17264
-89.377,-88.199,-98.101,-46.066,4,0.91589,-0.19818,-0.1849
-89.652,-88.906,-98.266,-46.445,4,0.9125,-0.21319,-0.17292
-91.038,-89.562,-98.152,-47.431,4,0.91458,-0.21875,-0.17031
-93.277,-90.145,-97.794,-48.733,4,0.91617,-0.22789,-0.16227
-95.921,-90.631,-97.335,-49.946,4,0.71875,-0.46563,-0.30208
-98.435,-90.981,-96.985,-50.686,4,-0.015833,-0.48708,-0.74688
-100.32,-91.148,-96.955,-50.723,4,0.33359,-0.53984,-0.52812
-101.22,-91.101,-97.377,-50.063,4,0.90708,-0.28146,-0.17708
-100.99,-90.847,-98.248,-48.947,4,0.90833,-0.23646,-0.19479
-99.732,-90.454,-99.41,-47.77,4,0.89531,-0.22422,-0.19375
-97.739,-90.05,-100.58,-46.944,4,0.90781,-0.23594,-0.19271
-95.416,-89.795,-101.44,-46.757,4,0.90729,-0.22083,-0.19583
-93.181,-89.843,-101.69,-47.272,4,0.90938,-0.21372,-0.19861
-91.367,-90.282,-101.21,-48.304,4,0.91285,-0.22569,-0.18507
-90.165,-91.096,-100.03,-49.481,4,0.9125,-0.19958,-0.20042
-89.606,-92.15,-98.393,-50.378,4,0.90847,-0.21458,-0.19486
-89.594,-93.216,-96.642,-50.662,4,0.90937,-0.18906,-0.19948
-89.967,-94.025,-95.157,-50.216,4,0.90781,-0.20885,-0.19258
-90.564,-94.349,-94.238,-49.179,4,0.91562,-0.21563,-0.18958
-91.282,-94.066,-94.02,-47.907,4,0.90859,-0.20547,-0.19141
-92.092,-93.208,-94.448,-46.855,4,0.90667,-0.21486,-0.18583
-93.029,-91.958,-95.303,-46.425,4,0.92172,-0.21047,-0.1875
-94.146,-90.603,-96.279,-46.827,4,0.91625,-0.21153,-0.18931
-95.459,-89.459,-97.083,-48.011,4,0.91354,-0.19271,-0.19167
-96.909,-88.776,-97.527,-49.681,4,0.91375,-0.18625,-0.19333
-98.343,-88.675,-97.58,-51.39,4,0.91536,-0.18724,-0.19609
-99.541,-89.11,-97.36,-52.687,4,0.91781,-0.19396,-0.1875
-100.27,-89.888,-97.088,-53.258,4,0.91812,-0.1925,-0.18812
-100.34,-90.732,-96.996,-53.024,4,0.92042,-0.37292,-0.12104
-99.692,-91.361,-97.242,-52.152,4,0.067969,-0.53516,-0.725
-98.408,-91.567,-97.854,-50.99,4,-0.039063,-0.4651,-0.80521
