Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-100,-62.4,-100,-100,2,0.93375,0.305,-0.01875
-90,-72.75,-100,-91,2,-0.13281,0.17222,-0.15885
-83.5,-76,-100,-91.667,2,-0.11285,0.5375,-0.4434
-98,-67.4,-100,-86,2,0.86167,0.38708,-0.38833
-88,-57.333,-100,-85,2,0.93403,0.22083,0.0041667
-100,-62,-100,-85,2,0.94531,0.26328,0.066406
-100,-62.8,-100,-100,2,0.9575,0.26875,0.05125
-100,-72.8,-100,-89,2,0.96063,0.068125,0.23813
-100,-73.6,-100,-84,2,0.9625,0.2475,0.048125
-100,-70.5,-100,-90,2,0.94063,0.22891,0.13047
-100,-69.75,-100,-100,2,0.91094,0.28906,0.375
-100,-65.667,-100,-100,2,0.67917,-0.075,0.49792
-100,-58,-100,-88,2,0.86328,0.19609,0.075781
-100,-65.5,-100,-100,2,0.98594,-0.00625,0.25625
-100,-61.5,-100,-100,2,0.9375,-0.026562,0.31094
-100,-54.5,-100,-100,2,0.95781,0.11406,0.079687
-100,-52.25,-100,-100,2,0.96562,0.2125,0.04375
-100,-55.75,-100,-91,2,0.86484,0.065625,0.011719
-100,-62,-100,-92,2,0.95625,0.15208,0.097917
-100,-66.75,-100,-88.333,2,0.9474,0.16458,0.067448
-100,-69,-100,-84,2,0.94635,0.24167,0.021875
-100,-79,-100,-89,2,0.97833,0.32792,0.15667
-100,-76,-100,-88,2,0.52812,0.25104,0.71458
-95.5,-68.167,-100,-85,2,0.49097,0.43819,0.78715
-90,-71,-100,-91.667,2,0.47656,0.57622,0.61944
-100,-67.25,-100,-100,2,-0.10469,0.42344,0.87813
-100,-74.2,-100,-81,2,-0.04125,0.23375,0.98875
-100,-77.75,-100,-80.5,2,-0.10703,0.34609,0.94219
-101,-77.667,-100,-86,2,0.3,0.64097,0.0625
-100,-66.75,-100,-87,2,0.93906,0.021094,0.40859
-100,-58,-100,-97,2,0.76563,0.073437,0.60391
-89,-61.4,-100,-88,2,0.83028,0.1175,0.50694
-100,-65.8,-100,-99,2,0.79656,0.29281,0.3975
-100,-63.667,-100,-100,2,0.8125,0.15,0.55833
-100,-57.4,-100,-92.5,2,0.83719,0.1675,0.49813
-100,-64.25,-100,-90.5,2,0.73125,0.23516,0.59844
-100,-76.333,-100,-102,2,0.80833,0.10208,0.55312
-100,-66.6,-100,-100,2,0.8275,0.02,0.54375
-100,-72.25,-100,-93.667,2,0.67865,-0.013802,0.71953
-100,-70.75,-100,-87,2,0.72552,-0.0020833,0.66875
-100,-67.5,-100,-85.5,2,1.0375,0.17344,0.070313
-100,-75.8,-100,-100,2,0.96875,0.2275,-0.025
-100,-78.2,-100,-100,2,0.97,0.1925,0.15375
-100,-81.25,-100,-100,2,0.93906,0.2625,-0.015625
-88,-85.333,-100,-87,2,0.92014,0.18194,0.039583
-100,-76.25,-100,-90.75,2,0.97422,0.21172,-0.0046875
-100,-80.2,-100,-92.5,2,0.845,0.22188,0.016563
-100,-67.2,-100,-100,2,0.9275,0.305,0.12875
-100,-68.333,-100,-100,2,0.95,0.20417,-0.0041667
-100,-72.667,-100,-100,2,0.97917,0.16667,0.0125
-100,-65.6,-100,-100,2,0.96375,0.21,0.01625
-100,-63.25,-100,-100,2,0.92188,0.1625,0.089063
-100,-66.667,-100,-100,2,0.94583,0.125,0
-100,-67,-100,-90,2,0.97708,0.23958,-0.0041667
-100,-64.4,-100,-100,2,0.95875,0.1825,0.08875
-100,-55.25,-100,-100,2,0.94688,0.24063,-0.0046875
-100,-66.25,-100,-100,2,0.92969,0.35313,0.20781
-100,-77.75,-100,-94,2,0.73151,0.13646,0.65599
-100,-90.5,-100,-23.6,4,0.345,0.85906,0.21875
-100,-87,-100,-27,4,0.34687,0.85312,0.21875
-100,-91.667,-100,-22,4,0.34479,0.85521,0.21875
-100,-90,-100,-26,4,0.34479,0.8625,0.21875
-100,-90,-100,-17.5,4,0.34687,0.85469,0.21875
-100,-89.5,-100,-19.25,4,0.34375,0.85781,0.21953
-100,-100,-100,-22.333,4,0.34375,0.85208,0.22083
-100,-92,-100,-31.333,4,0.34375,0.85104,0.22292
-92,-86,-100,-36,4,0.41542,0.645,0.53625
-94,-88,-100,-42.25,4,0.8908,0.33733,-0.029167
-95,-75,-87,-47.333,4,0.93177,0.21302,0.0083333
-89.25,-86,-88,-71.75,4,0.95742,0.21289,-0.0058594
-86.2,-89,-91,-71,4,1.0035,0.27943,0.021068
-79,-88.667,-90,-73.6,4,0.92495,0.22745,0.0079167
-88,-91,-100,-67.5,4,0.88021,0.38125,-0.24323
-84.4,-86,-100,-62.75,4,0.90712,0.25153,-0.047986
-84.5,-93,-84.5,-64.6,4,1.0252,0.22789,-0.024844
-78,-90,-89.667,-68.667,4,0.98932,0.18177,0.026302
-83.5,-96.5,-91,-68.75,4,0.93984,0.19245,0.011719
-86,-94.5,-100,-68.25,4,0.94427,0.28281,-0.039583
-89,-87.5,-92,-55.75,4,0.96393,0.16667,-0.0049479
-100,-87.667,-100,-64.75,4,0.96484,0.20417,-0.0054688
-96,-87,-100,-69,4,0.93493,0.27965,-0.019861
